year,/,month,/,day,g,s,w
" 2008",/,Jan,/,1,1,1,6
" 2008",/,Jan,/,2,1,2,12
" 2008",/,Jan,/,3,1,2,10
" 2008",/,Jan,/,4,0,1,5
" 2008",/,Jan,/,5,1,1,6
" 2008",/,Jan,/,6,0,0,0
" 2008",/,Jan,/,7,0,2,5
" 2008",/,Jan,/,9,0,0,4
" 2008",/,Jan,/,10,1,1,8
" 2008",/,Jan,/,11,0,0,4
" 2008",/,Jan,/,12,0,0,0
" 2008",/,Jan,/,13,0,0,0
" 2008",/,Jan,/,14,0,0,0
" 2008",/,Jan,/,15,0,0,0
" 2008",/,Jan,/,16,0,0,0
" 2008",/,Jan,/,17,0,0,0
" 2008",/,Jan,/,18,0,0,0
" 2008",/,Jan,/,19,0,0,0
" 2008",/,Jan,/,20,0,0,0
" 2008",/,Jan,/,21,0,0,0
" 2008",/,Jan,/,22,0,0,0
" 2008",/,Jan,/,23,0,0,0
" 2008",/,Jan,/,24,1,1,6
" 2008",/,Jan,/,25,0,0,0
" 2008",/,Jan,/,26,0,0,0
" 2008",/,Jan,/,27,0,0,0
" 2008",/,Jan,/,28,0,0,0
" 2008",/,Jan,/,29,0,0,0
" 2008",/,Jan,/,30,1,5,12
" 2008",/,Jan,/,31,1,6,12
" 2008",/,Feb,/,1,2,9,24
" 2008",/,Feb,/,2,0,2,4
" 2008",/,Feb,/,3,0,0,0
" 2008",/,Feb,/,4,0,0,0
" 2008",/,Feb,/,5,0,0,0
" 2008",/,Feb,/,6,0,0,0
" 2008",/,Feb,/,7,0,0,0
" 2008",/,Feb,/,8,0,0,0
" 2008",/,Feb,/,9,1,2,7
" 2008",/,Feb,/,10,0,1,4
" 2008",/,Feb,/,12,0,0,0
" 2008",/,Feb,/,13,0,0,0
" 2008",/,Feb,/,14,0,0,0
" 2008",/,Feb,/,15,0,0,0
" 2008",/,Feb,/,16,0,0,0
" 2008",/,Feb,/,17,0,0,0
" 2008",/,Feb,/,18,0,0,0
" 2008",/,Feb,/,19,0,0,0
" 2008",/,Feb,/,20,0,0,0
" 2008",/,Feb,/,21,0,0,0
" 2008",/,Feb,/,22,0,1,3
" 2008",/,Feb,/,23,0,0,0
" 2008",/,Feb,/,24,0,0,0
" 2008",/,Feb,/,25,1,1,8
" 2008",/,Feb,/,26,1,1,6
" 2008",/,Feb,/,27,0,0,2
" 2008",/,Feb,/,28,0,0,0
" 2008",/,Feb,/,29,0,0,0
" 2008",/,Mar,/,1,0,0,0
" 2008",/,Mar,/,2,0,0,0
" 2008",/,Mar,/,3,1,1,6
" 2008",/,Mar,/,4,0,0,4
" 2008",/,Mar,/,5,1,3,13
" 2008",/,Mar,/,6,1,2,12
" 2008",/,Mar,/,7,0,0,0
" 2008",/,Mar,/,8,0,0,0
" 2008",/,Mar,/,9,0,0,0
" 2008",/,Mar,/,10,0,0,0
" 2008",/,Mar,/,11,0,0,0
" 2008",/,Mar,/,12,0,0,0
" 2008",/,Mar,/,13,0,0,0
" 2008",/,Mar,/,14,0,0,0
" 2008",/,Mar,/,15,1,2,12
" 2008",/,Mar,/,16,1,4,14
" 2008",/,Mar,/,17,0,0,0
" 2008",/,Mar,/,18,0,0,0
" 2008",/,Mar,/,19,0,0,0
" 2008",/,Mar,/,20,0,0,0
" 2008",/,Mar,/,21,0,0,0
" 2008",/,Mar,/,22,0,0,0
" 2008",/,Mar,/,23,1,2,10
" 2008",/,Mar,/,24,2,18,38
" 2008",/,Mar,/,25,3,26,56
" 2008",/,Mar,/,26,3,24,54
" 2008",/,Mar,/,27,3,23,53
" 2008",/,Mar,/,28,3,22,52
" 2008",/,Mar,/,29,3,14,46
" 2008",/,Mar,/,30,3,13,45
" 2008",/,Mar,/,31,2,14,34
" 2008",/,Apr,/,1,2,6,26
" 2008",/,Apr,/,2,1,2,12
" 2008",/,Apr,/,3,1,3,13
" 2008",/,Apr,/,4,0,0,0
" 2008",/,Apr,/,5,0,0,0
" 2008",/,Apr,/,6,0,0,0
" 2008",/,Apr,/,7,0,0,0
" 2008",/,Apr,/,8,0,0,0
" 2008",/,Apr,/,9,0,0,0
" 2008",/,Apr,/,10,0,0,0
" 2008",/,Apr,/,11,0,0,0
" 2008",/,Apr,/,12,0,0,0
